;snr;psnr;nmse;ssim;ncc;reduce;model;dataset;epoch;model name;learning rate;batch size;dataset name
0;0.5712301508815675;-11.006238587854593;0.8773174445185702;0.841267642045904;0.6829196032178421;mean;ROBUST;test;0;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
1;0.5618702562765985;-11.149556926785106;0.8786440552992124;0.8444412684320832;0.6889364353142584;median;ROBUST;test;0;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
2;0.5723687232881233;-11.084131471343145;0.8770881073080232;0.8364958136094583;0.681937335175595;mean;ROBUST;train;0;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
3;0.5556610161580994;-11.46257307665574;0.879901178046417;0.8367401492557143;0.683309937663073;median;ROBUST;train;0;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
4;14.587914472570729;0.9404123613585823;0.0770316947042657;0.9128863327453556;0.9770327756997312;mean;ROBUST;test;100;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
5;14.856602806347745;1.3102934413196674;0.032684352414624376;0.9613411952263953;0.9874207034621463;median;ROBUST;test;100;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
6;14.568187223965333;0.8133937172035319;0.07101523290331982;0.9110103019669352;0.9770012464570509;mean;ROBUST;train;100;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
7;14.840681680656466;0.9828671782818599;0.032804382587536825;0.9562361977510813;0.9870955258558749;median;ROBUST;train;100;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
8;14.518083885587297;0.9081909610758744;0.07505476775723297;0.9078457832235914;0.9770431641304764;mean;ROBUST;test;200;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
9;14.745419853966819;1.301443305623998;0.03353189260967179;0.9596711433388548;0.9876143835949613;median;ROBUST;test;200;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
10;14.494803506047218;0.7814280290682215;0.06833332430667707;0.9063380990629727;0.9769938735145746;mean;ROBUST;train;200;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
11;14.804277934227288;1.086833963639962;0.03308051343523363;0.954686403001789;0.9874529398196394;median;ROBUST;train;200;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
12;14.492085695817334;0.6452498377759355;0.07409840937984524;0.9034550293511106;0.9762690294176943;mean;ROBUST;test;300;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
13;14.651111721291443;0.8092747901410379;0.034268031842048824;0.9538303834200152;0.9861088237965994;median;ROBUST;test;300;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
14;14.46974312596965;0.5171565104471;0.06766891985152747;0.9020526150027302;0.9763344372809237;mean;ROBUST;train;300;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
15;14.618950226415969;0.6379421717354292;0.03452291193949539;0.9463758374144493;0.9857334812715761;median;ROBUST;train;300;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
16;14.398092511499009;0.8312736516324952;0.07602771106164036;0.9015903577556007;0.9765799691454522;mean;ROBUST;test;400;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
17;14.612768203109741;1.2502971311208726;0.034571901564541166;0.9566231208242996;0.9872099067549971;median;ROBUST;test;400;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
18;14.393460609709189;0.7217429069040807;0.0683692449678116;0.9006951993205791;0.9765759057742152;mean;ROBUST;train;400;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
19;14.736004315683328;1.0009766932096396;0.03360471012120969;0.9511013617408517;0.9872276491717289;median;ROBUST;train;400;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
20;14.126242846916059;0.7764149503511555;0.08072637703832669;0.8987315528900617;0.9761829522499121;mean;ROBUST;test;500;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
21;14.395076759156396;1.318798351599129;0.036348996161849556;0.9561922446547593;0.9872070355910283;median;ROBUST;test;500;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
22;14.112712958432502;0.6692905193949195;0.07118914812668847;0.8981802738565622;0.9761212608468486;mean;ROBUST;train;500;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
23;14.453898555771739;1.025304845833265;0.035859989799837205;0.9525135125415579;0.9872391672131733;median;ROBUST;train;500;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
24;14.533819540899865;0.7679194724670605;0.07391392255377052;0.9014279996101542;0.9766945292181409;mean;ROBUST;test;600;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
25;14.735180492048016;1.0838392396900225;0.03361104057364932;0.9563235984736072;0.9869236862708077;median;ROBUST;test;600;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
26;14.513998548025945;0.6599029044205905;0.06551723599320011;0.9002720099095027;0.9767464634928926;mean;ROBUST;train;600;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
27;14.722078197750662;0.8734539568223556;0.03371259730521049;0.9486399491342694;0.9869812200619659;median;ROBUST;train;600;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
28;14.558038771661222;0.6468925874497408;0.0737367560542095;0.8989748877372953;0.9761274346529804;mean;ROBUST;test;700;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
29;14.712443382559364;0.8715174161257018;0.03378747102409996;0.951720573173688;0.9862338767018368;median;ROBUST;test;700;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
30;14.538378004410262;0.5378286000511586;0.06399941885524775;0.8977356000109277;0.9763096298984437;mean;ROBUST;train;700;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
31;14.70429503153376;0.6433446114129266;0.03385093008097114;0.9442860081488664;0.9859540247423125;median;ROBUST;train;700;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
32;14.596610674747849;0.692106363765901;0.07307600963316403;0.8988240539915218;0.9761529567292273;mean;ROBUST;test;800;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
33;14.83081706057314;0.9853681602921252;0.03287898233264727;0.9521771468957263;0.9865641630651015;median;ROBUST;test;800;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
34;14.583287332637036;0.5916537288952369;0.062434194596692714;0.897694748284932;0.9763990449553239;mean;ROBUST;train;800;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
35;14.789746349494285;0.8077271468311242;0.03319138424782352;0.9465379845417058;0.986450336516267;median;ROBUST;train;800;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
36;15.153543996174966;0.6790406990071117;0.06624410033438721;0.9001767667819225;0.9770950960636743;mean;ROBUST;test;900;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
37;15.521695147246927;1.0729146181217293;0.028043391446741256;0.9556407127967745;0.9874289471057174;median;ROBUST;test;900;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
38;15.138005215959996;0.562837747448781;0.05568117699051607;0.8979354740943899;0.977216472000387;mean;ROBUST;train;900;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
39;15.51165378340334;0.7950092072395202;0.02810831330000336;0.9484042763422191;0.9873607011208682;median;ROBUST;train;900;student-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/student_train.zip
